race_season,driver_id,driver_fullname,num_races,wins,top_5,top_10,finish_2_5,finish_6_10,lead_lap_finishes,total_laps_led,total_laps,avg_starting_position,avg_finishing_position,avg_diff_laps,avg_diff_time_sec,avg_diff_time_min,pct_laps_led,team_name,num_accidents,most_likely_dnf_cause
2014,4004,Joey Gase,4,0,0,0,0,0,4,0,1187,42.5,36.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2014,4013,Ty Dillon,2,0,0,0,0,0,2,0,647,27.5,26.0,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2014,4017,Kyle Fowler,1,0,0,0,0,0,1,0,500,42.0,28.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2014,4023,Ryan Blaney,2,0,0,0,0,0,2,15,461,12.5,24.5,0.0,0.0,0.0,0.03253796095444685,Team Penske,0,None
2014,4030,Kyle Larson,36,0,8,17,8,9,36,53,10541,15.583333333333334,14.166666666666666,0.0,0.0,0.0,0.005027985959586377,Chip Ganassi Racing,4,Accident
2014,4038,Brett Moffitt,8,0,1,1,0,0,8,0,2537,30.125,31.0,0.0,0.0,0.0,0.0,Identity Ventures Racing,1,Engine
2014,4045,Alex Bowman,36,0,0,0,0,0,36,0,10541,32.97222222222222,32.55555555555556,0.0,0.0,0.0,0.0,NY Racing Team,4,Accident
2014,4096,Corey LaJoie,2,0,0,0,0,0,2,0,637,41.5,38.0,0.0,0.0,0.0,0.0,Randy Humphrey Racing,0,None
2015,34,Justin Allgaier,36,0,0,1,0,1,36,1,10425,26.38888888888889,27.694444444444443,0.0,0.0,0.0,9.592326139088728e-05,Rick Ware Racing,4,Accident
2015,40,Aric Almirola,36,0,3,6,3,3,36,3,10425,22.36111111111111,17.916666666666668,0.0,0.0,0.0,0.00028776978417266187,Legacy Motor Club,1,Engine
2015,198,T.J. Bell,2,0,1,1,0,0,2,0,457,21.5,18.5,0.0,0.0,0.0,0.0,Premium Motorsports,0,None
2015,243,Greg Biffle,36,0,3,4,3,1,36,40,10425,19.944444444444443,20.0,0.0,0.0,0.0,0.0038369304556354917,RFK Racing,0,None
2015,275,Mike Bliss,12,0,2,2,0,0,12,3,4268,32.5,29.083333333333332,0.0,0.0,0.0,0.0007029053420805998,GO FAS Racing,0,None
2015,339,Clint Bowyer,36,0,2,12,2,10,36,11,10425,20.52777777777778,18.75,0.0,0.0,0.0,0.00105515587529976,Premium Motorsports,3,Accident
2015,453,Kurt Busch,33,2,10,21,8,11,33,788,9630,10.06060606060606,11.121212121212121,0.0,0.0,0.0,0.0818276220145379,Stewart-Haas Racing,0,None
2015,454,Kyle Busch,25,5,12,16,7,4,25,736,6909,8.16,10.76,0.0,0.0,0.0,0.10652771746996671,Joe Gibbs Racing,2,Accident
2015,694,Matt Crafton,1,0,0,0,0,0,1,0,203,4.0,18.0,0.0,0.0,0.0,0.0,Joe Gibbs Racing,0,None
2015,915,Dale Earnhardt Jr,36,3,16,22,13,6,36,286,10425,13.75,11.305555555555555,0.0,0.0,0.0,0.027434052757793766,Hendrick Motorsports,1,Accident
2015,923,Carl Edwards,36,2,7,15,5,8,36,376,10425,9.13888888888889,13.972222222222221,0.0,0.0,0.0,0.03606714628297362,Joe Gibbs Racing,2,Accident
2015,1165,Brendan Gaughan,16,0,8,8,0,0,16,0,4687,19.625,17.875,0.0,0.0,0.0,0.0,Premium Motorsports,1,Accident
2015,1202,David Gilliland,36,0,0,0,0,0,36,7,10425,33.72222222222222,29.36111111111111,0.0,0.0,0.0,0.000671462829736211,Front Row Motorsports,3,Accident
2015,1237,Jeff Gordon,36,1,5,21,4,16,36,265,10425,11.805555555555555,13.694444444444445,0.0,0.0,0.0,0.02541966426858513,Hendrick Motorsports,1,Accident
2015,1282,Jeff Green,3,0,2,2,0,0,3,0,1205,11.0,13.333333333333334,0.0,0.0,0.0,0.0,Key Motorsports,0,None
2015,1361,Denny Hamlin,36,2,14,20,12,6,36,529,10425,11.666666666666666,13.61111111111111,0.0,0.0,0.0,0.05074340527577938,Joe Gibbs Racing,2,Accident
2015,1416,Kevin Harvick,36,3,23,28,20,5,36,2294,10425,8.36111111111111,8.666666666666666,0.0,0.0,0.0,0.22004796163069545,Stewart-Haas Racing,0,Engine
2015,1568,Ron Hornaday Jr,4,0,3,3,0,0,4,0,1539,8.5,10.5,0.0,0.0,0.0,0.0,Key Motorsports,0,Rear Gear
2015,1717,Jimmie Johnson,36,5,14,22,9,8,36,558,10425,12.083333333333334,12.777777777777779,0.0,0.0,0.0,0.05352517985611511,Hendrick Motorsports,0,Engine
2015,1772,Kasey Kahne,36,0,3,10,3,7,36,66,10425,14.86111111111111,18.13888888888889,0.0,0.0,0.0,0.006330935251798561,Hendrick Motorsports,3,Accident
2015,1810,Matt Kenseth,34,5,12,20,7,8,34,927,9872,11.529411764705882,14.323529411764707,0.0,0.0,0.0,0.09390194489465153,Joe Gibbs Racing,1,Suspension
2015,1816,Brad Keselowski,36,1,9,25,8,16,36,1184,10425,10.0,11.055555555555555,0.0,0.0,0.0,0.11357314148681055,Team Penske,0,Engine
2015,1890,Travis Kvapil,14,0,10,10,0,0,14,0,4010,11.857142857142858,10.142857142857142,0.0,0.0,0.0,0.0,Key Motorsports,0,None
2015,1891,Bobby Labonte,4,0,0,0,0,0,4,1,748,37.0,29.25,0.0,0.0,0.0,0.001336898395721925,GO FAS Racing,1,Accident
2015,2208,Jamie McMurray,36,0,4,10,4,6,36,14,10425,16.27777777777778,14.86111111111111,0.0,0.0,0.0,0.001342925659472422,Chip Ganassi Racing,1,Accident
2015,2215,Casey Mears,36,0,0,1,0,1,36,4,10425,23.916666666666668,23.13888888888889,0.0,0.0,0.0,0.00038369304556354914,Germain Racing,2,Accident
2015,2225,Paul Menard,36,0,2,5,2,3,36,10,10425,17.77777777777778,17.083333333333332,0.0,0.0,0.0,0.0009592326139088729,Richard Childress Racing,0,Engine
2015,2384,Joe Nemechek,1,0,0,0,0,0,1,1,325,28.0,33.0,0.0,0.0,0.0,0.003076923076923077,Front Row Motorsports,0,None
2015,2394,Ryan Newman,36,0,5,15,5,10,36,20,10425,15.25,13.527777777777779,0.0,0.0,0.0,0.0019184652278177458,Richard Childress Racing,1,Accident
2015,2674,David Ragan,36,0,1,1,1,0,36,8,10425,17.22222222222222,24.63888888888889,0.0,0.0,0.0,0.0007673860911270983,Michael Waltrip Racing,4,Accident
2015,2883,Boris Said,2,0,0,0,0,0,2,0,200,35.5,29.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2015,2911,Johnny Sauter,1,0,0,0,0,0,1,0,203,36.0,19.0,0.0,0.0,0.0,0.0,BK Racing,0,None
2015,3094,Regan Smith,4,0,0,0,0,0,4,0,1295,25.75,16.25,0.0,0.0,0.0,0.0,Stewart-Haas Racing,0,None
2015,3120,Reed Sorenson,18,0,9,9,0,0,18,1,5267,19.22222222222222,17.944444444444443,0.0,0.0,0.0,0.00018986140117714068,Premium Motorsports,0,None
2015,3193,Tony Stewart,36,0,0,3,0,3,36,24,10425,18.333333333333332,24.77777777777778,0.0,0.0,0.0,0.002302158273381295,Stewart-Haas Racing,4,Accident
2015,3368,Martin Truex Jr,36,1,8,22,7,14,36,567,10425,12.5,12.222222222222221,0.0,0.0,0.0,0.054388489208633095,Furniture Row Racing,2,Accident
2015,3425,Brian Vickers,2,0,0,0,0,0,2,0,579,23.0,28.0,0.0,0.0,0.0,0.0,Michael Waltrip Racing,0,None
2015,3458,Mike Wallace,3,0,2,2,0,0,3,0,795,5.333333333333333,12.0,0.0,0.0,0.0,0.0,Identity Ventures Racing,0,None
2015,3478,Michael Waltrip,3,0,0,0,0,0,3,3,587,30.0,25.0,0.0,0.0,0.0,0.005110732538330494,Michael Waltrip Racing,0,None
2015,3669,JJ Yeley,34,0,0,0,0,0,34,3,9725,37.11764705882353,34.529411764705884,0.0,0.0,0.0,0.0003084832904884319,NY Racing Team,1,Engine
2015,3774,AJ Allmendinger,36,0,0,3,0,3,36,55,10425,21.583333333333332,23.083333333333332,0.0,0.0,0.0,0.005275779376498801,JTG Daugherty Racing,1,Oil Leak
2015,3776,Sam Hornish Jr,36,0,0,3,0,3,36,22,10425,25.333333333333332,24.333333333333332,0.0,0.0,0.0,0.00211031175059952,Richard Petty Motorsports,2,Accident
2015,3797,Josh Wise,29,0,5,6,0,1,29,3,8552,30.448275862068964,27.75862068965517,0.0,0.0,0.0,0.00035079513564078576,Premium Motorsports,2,Accident
2015,3808,Landon Cassill,36,0,0,0,0,0,36,0,10425,32.388888888888886,30.63888888888889,0.0,0.0,0.0,0.0,Hillman Racing,2,Engine
2015,3822,Brian Scott,11,0,1,1,0,0,11,0,2867,20.727272727272727,24.454545454545453,0.0,0.0,0.0,0.0,Circle Sport Racing,2,Accident
2015,3832,Michael McDowell,20,0,4,4,0,0,20,0,5585,23.45,24.55,0.0,0.0,0.0,0.0,Leavine Family Racing,1,Accident
2015,3836,Justin Marks,2,0,1,1,0,0,2,0,313,17.5,15.0,0.0,0.0,0.0,0.0,Front Row Motorsports,0,None
2015,3859,Joey Logano,36,6,22,28,16,6,36,1431,10425,6.916666666666667,9.166666666666666,0.0,0.0,0.0,0.1372661870503597,Team Penske,0,None
2015,3861,Michael Annett,36,0,1,1,0,0,36,1,10425,33.72222222222222,31.75,0.0,0.0,0.0,9.592326139088728e-05,HScott Motorsports,2,Accident
